Day,Time,x,y,C01,C02,C06,C07_minus_C14,C07_anomaly,landcover,temperature,humidity,pressure,label
8,201811082000,166,133,high,high,high,high,,forest,63.01621276,10.5751859,29.76191586,1
9,201811092000,50,210,high,high,normal,normal,,croplands,41.94623985,42.00764958,29.63965938,0
8,201811081600,130,142,low,normal,normal,high,,grassland,68.01630014,8.232955778,29.89440966,0
10,201811101800,150,180,high,high,high,high,,,50.31474211,43.06858075,29.78114116,0
10,201811102200,150,190,high,high,high,normal,,croplands,46.95399366,51.77996652,29.79699909,0
11,201811110000,160,160,high,high,high,normal,,,44.30399952,41.6380138,29.82025133,0
11,201811111500,166,150,high,high,high,normal,,forest,68.97692055,9.460813718,29.82611928,0
8,201811081800,168,130,high,high,high,high,,,62.76194786,9.29841622,29.79589235,1
9,201811092300,25,280,high,high,normal,low,,grassland,41.38575745,37.78468102,29.62001739,0
9,201811091800,130,140,low,normal,low,normal,,,45.94068449,18.81425604,29.79778922,0
9,201811092100,182,208,normal,normal,normal,normal,,,44.76834948,41.63465988,29.86680461,0
9,201811092100,50,210,high,high,normal,normal,,croplands,42.1095472,33.97545479,29.73146108,0
9,201811092200,86,242,high,high,normal,normal,,croplands,42.48207213,40.44944503,29.77335695,0
9,201811091900,38,175,high,high,normal,normal,,,42.03557092,32.38630594,29.74679141,0
8,201811082100,163,128,high,high,high,high,,,57.17824929,10.75982872,29.84422789,1
8,201811082300,167,130,high,high,high,high,,,49.42908318,16.34716309,29.83494271,1
8,201811081900,70,210,high,high,normal,normal,,croplands,57.44556944,12.19019766,29.84791962,0
8,201811080000,147,187,high,high,high,normal,,croplands,0,0,0,0
8,201811081600,131,146,normal,normal,low ,high,,grassland,68.0256092,8.314080436,29.8933807,0
8,201811081800,170,130,high,high,high,high,,,62.83119298,9.370487855,29.78701403,1
8,201811081800,246,50,low,low ,low ,low,,forest,60.08977579,10.86713337,29.0516788,0
8,201811082100,170,130,high,high,high,high,,,57.95102097,10.70507506,29.82433723,1
9,201811090000,165,131,high,high,high,high,,,46.9684929,21.5709111,29.84302511,1
9,201811090000,275,135,low,low ,low ,low,,,46.39614295,21.79896388,28.09135059,0
